Team,Year,PointsDiff,Possession%,Avg.Error,Avg.RunMeters,Post.Con.Met,Set Completion%,Avg.PenaltiesC,Avg.MissedT,Avg. KickM,GK%,Offloads,Linebreaks
Storm,2024,243,51,10.7,1726,561.2,79,5.1,30.1,544.1,78,9.9,6.7
Panthers,2024,186,52,10.1,1870,584.1,81,5.9,32.6,577.1,78,10,5.4
Roosters,2024,275,50,10.7,1668,557.9,80,7,33,555,79,11.3,6.3
Sharks,2024,222,50,11.3,1713,555.1,79,6.1,33.8,600.4,81,8.9,5
Cowboys,2024,89,50,11.4,1766,585.3,78,5,36.1,541,84,7.2,5.9
Bulldogs,2024,96,51,10.6,1701,511.1,78,5.6,38.7,681,73,8.2,4.9
Sea Eagles,2024,113,50,10.8,1696,548.1,78,5.2,34,614,78,6.6,5.3
Knights,2024,-40,48,10,1739,600.1,80,5,34.2,621.04,82,7.4,4.2
Raiders,2024,-127,50,11.4,1674,590,79,5,34,602.3,77,8.7,3.9
Dolphins,2024,-1,50,9.8,1687,534.3,80,5.7,36.1,594.2,80,9.2,4.9
Dragons,2024,-126,50,11.3,1613,569.4,78,4.8,31,571.7,77,10.7,4.6
Broncos,2024,-70,47,12.2,1605,525.1,76,4.9,34.5,597.8,86,6.5,4.7
Warriors,2024,-62,51,10,1776,587.8,82,5.1,32.2,577,75,7.3,4.6
Titans,2024,-168,50,9.5,1696,568.8,82,4.9,35,589,70,8.6,4.7
Eels,2024,-155,51,11,1685,555.8,77,5.1,36.8,495,67,13.3,5
Rabbitohs,2024,-188,50,10.6,1651,557.1,79,5.9,35.2,539.4,67,9,4.5
Tigers,2024,-297,49,10.5,1566,527.4,79,6,37.8,518.6,78,10.1,4.4
Storm,2023,168,50,9.9,1654,503,80,6.4,35.9,561.7,77,9.1,4.9
Panthers,2023,333,54,8.8,1928,554.9,83,5.2,33.6,603.4,81,10.3,5.5
Roosters,2023,-24,48,11.5,1639,493.6,75,6.5,34.5,532.2,79,9.6,4.9
Sharks,2023,122,51,11.5,1802,522.5,76,5.4,34.8,553.8,78,8.1,5.8
Cowboys,2023,4,50,9.7,1752,503.4,80,5.7,39.5,606.8,80,7.2,5.1
Bulldogs,2023,-331,48,10.9,1533,430.5,75,6.3,41.2,574.5,85,10.6,4
Sea Eagles,2023,6,49,10.8,1620,507.4,78,5.3,31.2,584,76,8.6,5.3
Knights,2023,175,50,11.1,1724,510,76,5.1,33,568.6,69,8,5.7
Raiders,2023,-137,49,10.5,1588,510,77,5.7,34.2,583,87,9.8,4.2
Dolphins,2023,-111,50,9.2,1670,514.9,79,5.5,35.9,554.9,73,9.4,5.2
Dragons,2023,-199,50,10.7,1586,476.8,76,5.7,34.7,530.2,68,8.8,4.3
Broncos,2023,214,51,11.3,1778,531.6,77,5.4,32.3,568.8,78,10.8,6
Warriors,2023,124,50,10.4,1688,511.7,79,5.6,33.4,580.9,78,7.3,5.4
Titans,2023,-126,49,9.8,1638,474.6,80,5.4,37.2,584,79,10.1,5.2
Eels,2023,13,51,11.3,1759,515.3,75,5.1,34.7,538.8,78,13.7,5.4
Rabbitohs,2023,59,50,11,1711,511.5,75,5.4,31.5,523.4,72,7.2,5.7
Tigers,2023,-290,50,11.4,1665,498.9,76,5.5,33,516.2,82,12,4.1
Storm,2022,247,51,10.3,1618,531,79,6.9,30.9,515.2,71,10.3,5.9
Panthers,2022,306,52,9.3,1831,620.2,81,5.8,31.4,561.7,84,8.7,5.1
Roosters,2022,201,51,11.4,1711,580.3,75,6.4,32,491.9,75,10.4,5.4
Sharks,2022,209,50,12.4,1693,542.2,74,6,31.7,513.1,71,10.7,5.7
Cowboys,2022,272,52,10.6,1770,577.2,78,5.5,30.9,546.7,82,9.3,5
Bulldogs,2022,-192,48,11,1495,531.3,76,6,30.3,557.3,72,11.7,3.1
Sea Eagles,2022,-105,49,11.2,1552,528.1,77,5.6,31.5,573.6,75,8,4.3
Knights,2022,-290,49,10.5,1512,530.3,76,5.5,33.1,552.8,61,9,3.7
Raiders,2022,63,50,10.6,1578,532.1,77,6,30.9,543.8,78,12.1,4.1
Dragons,2022,-100,50,10.8,1512,535.8,77,5.7,39.1,550.6,77,8,4.5
Broncos,2022,-36,48,11,1598,557.2,79,5.6,36,554.6,83,8.5,4.4
Warriors,2022,-292,48,10.5,1436,529.7,77,5.8,32.2,549.2,79,6.5,3.6
Titans,2022,-205,49,10.8,1611,556.9,78,5.1,33.6,516.4,73,8.8,4.3
Eels,2022,119,52,10.3,1772,618.5,79,4.9,29.9,586.3,78,14.2,4.8
Rabbitohs,2022,201,51,11.7,1740,588.9,75,6.1,28.7,459,79,10,5.6
Tigers,2022,-327,48,10.4,1495,529.1,77,5.8,35.2,530.5,67,9.7,3.8
Storm,2021,499,53,9.8,1733,525.6,79,4.1,27.1,518,74,10.5,6.8
Panthers,2021,390,52,10.8,1772,569.1,79,4.4,31.6,614.5,81,9.8,5
Roosters,2021,141,50,11.7,1648,542.4,75,5.1,33.3,489.4,64,8.7,5.9
Sharks,2021,-36,51,9.6,1671,545.1,80,4,37.9,535.2,83,8.5,4.7
Cowboys,2021,-288,47,11.5,1604,519.1,77,4.8,36.8,525.8,74,6.8,3.9
Bulldogs,2021,-370,47,9.1,1478,514.1,80,5.4,32.1,588.3,78,8,2.8
Sea Eagles,2021,252,50,11.6,1662,500.1,75,4.4,26.2,537.7,81,8.9,6.5
Knights,2021,-143,50,10.1,1654,534.3,79,3.4,25.5,588.5,69,9,3.9
Raiders,2021,-97,48,10.5,1590,542.1,78,4.8,32.1,542.9,84,9.5,3.9
Dragons,2021,-142,48,11.4,1540,505.5,77,3.8,34.9,593.3,70,8.5,3.8
Broncos,2021,-249,48,11,1559,518.7,77,4.1,32.9,548.5,81,11.5,3.8
Warriors,2021,-171,48,10.5,1547,542.6,78,4.4,30.2,512.8,77,11,3.9
Titans,2021,-3,52,10.6,1726,539.1,78,4.6,28.3,496.9,76,10.3,5.7
Eels,2021,109,52,11.4,1752,584.3,80,3.8,27.3,611.8,75,12.3,4.7
Rabbitohs,2021,322,52,10,1759,575.7,78,3.5,23.9,512.6,76,8.6,6.4
Tigers,2021,-214,50,10.8,1566,541.8,77,4.6,32,488.6,79,12.8,4.3
